,GANTT CHART,,,,,,,,,,,,,,,,,,,,,,,,,https://goo.gl/PXLbMe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROJECT TITLE,Sample Project Timeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PHASE ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHASE TWO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHASE THREE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TASK TITLE,TASK OWNER,START DATE,DUE DATE,DURATION,Jan 17,,,,,,,Jan 24,,,,,,,Jan 31,,,,,,,Feb 7,,,,,,,Feb 14,,,,,,,Feb 21,,,,,,,Feb 28,,,,,,,Mar 7,,,,,,,Mar 14,,,,,,,Mar 21,,,,,,,Mar 28,,,,,,,Apr 4,,,,,,,Apr 11,,,,,,,Apr 18,,,,,,,Apr 25,,,,,,
,,,,,,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U,M,T,W,R,F,S,U
,Project Team Composition,All,1/17/2024,2/2/2024,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project Proposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Introduction & Background,Person 1,2/2/2024,2/23/2024,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Problem Definition,Person 1,2/2/2024,2/23/2024,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
